date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:14:11	87155/87155	---M--	200	added ('OK')	image/jpeg	etag:%2215473-5d305dca44d8b%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2021/12/PN-1-1.jpeg	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/uploads/sites/2/2021/12/PN-1-1.jpg	(from https://mentormate.com/bg/careers/delivery-manager/)
14:14:11	79494/79494	---MC-	200	added ('OK')	text/css	etag:W/%2213686-5dbe6567e314d-gzip%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155306.css	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155306.css	(from https://mentormate.com/bg/careers/delivery-manager/)
14:14:12	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:12%20GMT	https://mentormate.com/bg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmentormate.com%2Fbg%2Fcareers%2Fdelivery-manager%2F	C:/My%20Web%20Sites/testProject/mentormate.com/bg/wp-json/oembed/1.0/embeddd4f	(from https://mentormate.com/bg/careers/delivery-manager/)
14:14:12	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:12%20GMT	https://mentormate.com/bg/?p=44466	C:/My%20Web%20Sites/testProject/mentormate.com/bg/index33a0.html	(from https://mentormate.com/bg/careers/delivery-manager/)
14:14:13	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:13%20GMT	https://mentormate.com/bg/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fmentormate.com%2Fbg%2Fcareers%2Fdelivery-manager%2F&format=xml	C:/My%20Web%20Sites/testProject/mentormate.com/bg/wp-json/oembed/1.0/embedfdfa	(from https://mentormate.com/bg/careers/delivery-manager/)
14:14:15	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:14%20GMT	https://mentormate.com/bg/careers/delivery-manager/?filters[0][name]=job_type&filters[0][value]=remote&filters[1][name]=search&filters[1][value]=	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/delivery-manager/index0969.html	(from https://mentormate.com/bg/careers/delivery-manager/)
14:14:15	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:14%20GMT	https://mentormate.com/bg/careers/delivery-manager/?filters[0][name]=job_type&filters[0][value]=contractor&filters[1][name]=search&filters[1][value]=	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/delivery-manager/indexa59c.html	(from https://mentormate.com/bg/careers/delivery-manager/)
14:14:15	0/0	---MCZ	403	error ('Forbidden')	text/html	date:Tue,%2005%20Apr%202022%2011:14:14%20GMT	https://mentormate.com/bg/careers/delivery-manager/?filters[0][name]=job_type&filters[0][value]=hybrid&filters[1][name]=search&filters[1][value]=	C:/My%20Web%20Sites/testProject/mentormate.com/bg/careers/delivery-manager/indexbf0f.html	(from https://mentormate.com/bg/careers/delivery-manager/)
14:14:15	58175/58175	---MC-	200	added ('OK')	application/x-javascript	etag:W/%22e33f-5dbe6567e314d-gzip%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155306.js	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649155306.js	(from https://mentormate.com/bg/careers/delivery-manager/)
14:14:16	79494/79494	---MC-	200	added ('OK')	text/css	etag:W/%2213686-5dbe6567e314d-gzip%22	https://d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649154433.css	C:/My%20Web%20Sites/testProject/d1zkqmcmykwifr.cloudfront.net/wp-content/plugins/enlighter/cache/X2_enlighterjs.min.1649154433.css	(from https://mentormate.com/bg/careers/net-developer-with-azure-contractor/)
